X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.87989386727746;45.7668306064525;0;10027;Mairie de Villeurbanne;Avenue Aristide Briand;En face de l'entrée de la mairie;VILLEURBANNE;27;26;Non;Mairie de Villeurbanne, TNP, itinéraire cyclable;Oui;;1;69266
4.89384801671434;45.7738436681982;0;10030;Greuze;2, Rue Greuze;;VILLEURBANNE;30;18;Non;centre social;Oui;;2;69266
4.8861572848566;45.7617882849687;0;10034;Docteur Damidot;Rue du Docteur Damidot;Devant la MJC;VILLEURBANNE;34;10;Non;MJC;Oui;;3;69266
4.85915458576084;45.7743568286995;0;10036;Stalingrad;Avenue Stalingrad;angle rue Chaplin;VILLEURBANNE;36;16;Non;entreprises, itinéraires cyclables;Oui;;4;69266
4.86677832802409;45.7790457737186;0;10038;Condorcet;Boulevard du 11 Novembre 1918;Croisement Tram;VILLEURBANNE;38;12;Non;tram, itinéraire cyclable;Oui;;5;69266
4.8905858366251;45.7830110745979;0;10043;Salengro / Feyssine;Face 44, Rue de la Feyssine;;VILLEURBANNE;43;20;Non;itinéraires cyclables;Oui;;6;69266
4.88499768198071;45.7711723255043;0;10047;Lherminier / Pressensé;2, Rue du Commandant Lherminier;Angle Rue de Pressensé;VILLEURBANNE;47;10;Non;itinéraires cyclables;Oui;;7;69266
4.87588806571722;45.7592438500941;0;10048;Place Marengo;Place Marengo;;VILLEURBANNE;48;22;Non;c¿ur quartier, itinéraire cyclable;Oui;;8;69266
4.82049353568986;45.7426463934711;0;2007;Patinoire Charlemagne;100, Cours Charlemagne;Angle rue Casimir Périer;Lyon 2 ème;7;22;Non;tram, patinoire;Oui;;9;69382
4.89150082452704;45.7794499265826;0;10039;Bouvier;Rue du Professeur Bouvier;Angle rue du 8 Mai 1945;VILLEURBANNE;39;16;Non;coeur quartier;Oui;;10;69266
4.83428668834704;45.763076929567;0;2016;Place Regaud;Place Regaud;Angle rue Tupin / rue Herriot;Lyon 2 ème;16;12;Non;maillage, Virgin;Oui;;11;69382
4.86569926844606;45.7722995938508;0;10075;Gabriel Péri;Rue Gabriel Péri;Angle cours André Philip;VILLEURBANNE;75;12;Non;;Oui;;12;69266
4.87916148913811;45.7681304002299;0;10079;Anatole France / Barbusse;Rue Anatole France;Angle avenue Barbusse;VILLEURBANNE;79;20;Non;marché, centre-ville;Oui;;13;69266
4.85183018012134;45.7733195111248;0;6006;Boulevard des Belges;Boulevard des Belges;Face rue Duquenne;Lyon 6 ème;6;15;Non;Parc de la Tête d'Or;Oui;;14;69386
4.8494994527405;45.7683990532862;0;6011;Mairie du 6e;58, Rue de Sèze;angle rue Boileau;Lyon 6 ème;11;15;Non;mairie du 6e;Oui;;15;69386
4.88952608578932;45.7698360005898;0;10086;Anatole France;Rue Anatole France;Angle Rue de Pressensé / Flachet;VILLEURBANNE;86;10;Non;maillage, iti. Cyclable;Oui;;16;69266
4.84460363574836;45.7717570855734;0;6012;Place Puvis de Chavannes;Place Puvis de Chavannes;Angle rue Vendôme;Lyon 6 ème;12;10;Non;;Oui;;17;69386
4.8126762195854;45.7697822121574;0;9011;Conservatoire;Quai Chauveau;avant angle pont Koenig;Lyon 9 ème;11;19;Non;Conservatoire national de musique;Oui;;18;69389
4.88056348866904;45.7481664733629;0;3051;Place Henri;Place Henri;rue du Docteur Long;Lyon 3 ème;51;13;Non;maillage;Oui;;19;69383
4.80531798091198;45.7756418294443;0;9003;Place Valmy;Rue Roquette;angle rue de Bourgogne;Lyon 9 ème;3;16;Non;métro D, médiathèque;Oui;;20;69389
4.82904044151992;45.7633758464824;0;5026;Rue de la Baleine;Rue de la Baleine;angle quai Romain Rolland;Lyon 5 ème;26;14;Non;Vieux Lyon;Oui;;21;69385
4.86645231726683;45.7450174320832;0;8007;Frères Lumière;Rue des Frères Lumières;angle rue Villon;Lyon 8 ème;7;15;Non;commerces;Oui;;22;69388
4.86428606575088;45.7742255397183;0;10072;Jacques Brel;Rue Jacques Brel;;VILLEURBANNE;64;23;Non;Tram, habitat dense et quartier du Tonkin;Oui;;23;69266
4.85846417543021;45.7602630058938;0;3001;Part-Dieu / Vivier Merle;Place Béraudier;derrière la station tram;Lyon 3 ème;1;40;Non;gare;Oui;;24;69383
4.83628897294204;45.7607097863131;0;2015;Place de la République;1, Rue Stella;;Lyon 2 ème;15;27;Non;commerces, parking;Oui;;25;69382
4.82214287043961;45.7444223014223;0;2028;Sainte Blandine;Cours Charlemagne;face station tram Ste Blandine;Lyon 2 ème;28;16;Non;tram;Oui;;26;69382
4.82989232819922;45.7546761673686;0;2023;Hugo / Ste Hélène;Rue Sainte Hélène;Entre rue Victor Hugi et rue d'Auvergne;Lyon 2 ème;23;20;Non;commerces;Oui;;27;69382
4.83320595563798;45.7620553014781;0;2025;Mercière / Ferrandière;Rue Ferrandière;Angle rue de Brest;Lyon 2 ème;25;10;Non;restaurants de la rue Mercière, commerces;Oui;;28;69382
4.85632678135882;45.7729113974483;0;6003;Avenue Verguin;Avenue de Verguin;devant l'entrée du parc;Lyon 6 ème;3;20;Non;Parc de la Tête d'Or, lycée du Parc;Oui;;29;69386
4.82736282617114;45.7662574761217;0;5005;Saint Paul;Place Saint-Paul;;Lyon 5 ème;5;23;Non;gare, coeur quartier, Vieux Lyon;Oui;;30;69385
4.83595992507683;45.7621899823468;0;2017;République / Ferrandière;Rue de la Ferrandière;rue de la République;Lyon 2 ème;17;15;Non;métro A, commerces;Oui;;31;69382
4.83445094477756;45.7776153014649;0;4005;Place Bertone;Rue du Chariot d'Or;Place Bertone;Lyon 4 ème;5;12;Oui;coeur quartier;Oui;;32;69384
4.82656505039726;45.7604837438978;0;5004;Saint Jean;Rue Saint-Jean;entre entrée de la Cathédrale et le métro;Lyon 5 ème;4;29;Non;funiculaire, coeur quartier, Vieux Lyon;Oui;;33;69385
4.84806584610847;45.7596542197415;0;3004;Bourse du travail;Rue de la Part-Dieu;face Place Voltaire;Lyon 3 ème;4;20;Non;métro B, coeur quartier;Oui;;34;69383
4.84653860951144;45.758825249533;0;3088;Place Guichard;5, Rue Moncey;;Lyon 3 ème;88;16;Non;Métro, tram, palais justice, bourse du travail;Oui;;35;69383
4.84451590396715;45.7599305258836;0;3031;Corneille / Servient;Rue Corneille;Angle Corneille / Servient;Lyon 3 ème;31;13;Non;tram;Oui;;36;69383
4.82166179835163;45.7520011769433;0;5015;Fulchiron;4, Quai Fulchiron;;Lyon 5 ème;15;19;Non;maillage;Oui;;37;69385
4.85348079711666;45.7571028581682;0;3037;Paul Bert / Garibaldi;Rue Paul Bert;Face place des Martyrs de la Résistance;Lyon 3 ème;37;20;Non;maillage (piscine Garibaldi);Oui;;38;69383
4.83578224398948;45.7598697352136;0;2035;Childebert/Rivière;Rue Marcel Gabriel Rivière;;Lyon 2 ème;35;27;Non;Commerces, hôtel Dieu, place, Parking;Non;;39;69382
4.84476493884258;45.7688513697594;0;6004;Foch;Cours Franklin Roosevelt;Angle rue Vendôme;Lyon 6 ème;4;20;Non;métro A, coeur quartier;Oui;;40;69386
4.82353267323631;45.7455815521805;0;2006;Place de l'Hippodrome;Place de l'Hippodrome;Angle cours Charlemagne;Lyon 2 ème;6;14;Non;coeur quartier;Oui;;41;69382
4.81313495281075;45.7579063089064;0;5007;Place de Trion;Place de Trion;Angle rue de Trion et place de Trion;Lyon 5 ème;7;16;Oui;Place de Trion, St Just, commerces;Oui;;42;69385
4.8557101486888;45.752592143714;0;3039;Place Bir Hakeim;Place Bir Hakeim;Au niveau rue Duvivier;Lyon 3 ème;39;13;Non;maillage;Oui;;43;69383
4.88728572321929;45.7495170788471;0;3012;Place du Château;Place du Château;A côté de l'Eglise;Lyon 3 ème;12;25;Non;coeur de quartier;Oui;;44;69383
4.82689094467313;45.7512303840984;0;2022;Place Carnot;Place Carnot;angle rue Général Plessier;Lyon 2 ème;22;30;Non;Place Carnot;Oui;;45;69382
4.85893496499598;45.757330738679;0;3038;Vivier Merle / Part-Dieu;65, Boulevard Vivier Merle;angle rue Paul Bert;Lyon 3 ème;38;40;Non;CAFAL;Oui;;46;69383
4.89672370709135;45.7691801944572;0;10049;Préssensé;294, Rue Francis de Préssensé;;VILLEURBANNE;49;16;Non;itinéraires cyclables;Oui;;47;69266
4.82776522186418;45.7742004407;0;4002;Mairie du 4e;Boulevard de la Croix Rousse;devant la mairie du 4ème;Lyon 4 ème;2;20;Oui;mairie;Oui;;48;69384
4.83470728245108;45.7797251519676;0;4003;Place Cdt Arnaud;Place Commandant Arnaud;angle rue Belfort;Lyon 4 ème;3;17;Oui;coeur quartier;Oui;;49;69384
4.82127926255568;45.7733105053725;0;4006;Philippe de Lassalle;Rue Philippe de Lassalle;angle rue Anselme;Lyon 4 ème;6;22;Oui;IUFM;Oui;;50;69384
4.82024492913168;45.7792901059158;0;4007;Place Flammarion;Place Flammarion;côté rue Philippe de Lassalle;Lyon 4 ème;7;18;Oui;maillage;Oui;;51;69384
4.88058491112699;45.7692120735822;0;10011;Gratte-Ciel;rue Branly;;VILLEURBANNE;11;16;Non;métro A, itinéraire cyclable;Oui;;52;69266
4.9011328928203;45.7650422669277;0;10013;Cusset;Rue Pierre Voyant;;VILLEURBANNE;13;20;Non;métro A, centre quartier;Oui;;53;69266
4.88073777969174;45.7617163505222;0;10018;Tolstoï / Florian;Rue Florian;Angle cours Tolstoï;VILLEURBANNE;18;11;Non;itinéraire cyclable;Oui;;54;69266
4.87396620986898;45.7675343020076;0;10028;Ecole de musique;Cours de la République;Angle Anatole France;VILLEURBANNE;28;24;Non;Conservatoire (A. France = itinéraire cyclable);Oui;;55;69266
4.88712372005919;45.7680704202146;0;10012;Zola / France;Rue de France;Angle cours Emile Zola;VILLEURBANNE;12;16;Non;IUT maison des sports, maison de l'image, centre culturel;Oui;;56;69266
4.86026581633304;45.7314687851879;0;8042;Francis de Pressenssé;Avenue Francis de Pressenssé;;Lyon 8 ème;38;22;Non;Quartier d'habitation;Oui;;57;69388
4.85024742721997;45.7530043530221;0;3029;Place Aristide Briand;Rue Duguesclin;Angle Gambetta;Lyon 3 ème;29;23;Non;itinéraires cyclables;Oui;;58;69383
4.79662676491689;45.759797191694;0;5044;Champvert;Rue Edmond Locard;;Lyon 5 ème;44;20;Oui;Bibliothèque, jardin public;Oui;;59;69385
4.78877412110312;45.750481483431;0;5045;Valdo / Rivet;Rue Jeunet;;Lyon 5 ème;45;18;Oui;Maillage;Oui;;60;69385
4.79271430810799;45.7638977674248;0;5054;Champvert;192 avenue Barthélémy Buyer;;Lyon 5 ème;54;18;Oui;Centre social, marché;Oui;;61;69385
4.80761289327132;45.771005567626;0;9040;Place Rhodiaceta;53 rue Chapeau Rouge;;Lyon 9 ème;40;12;Non;ANPE, bureaux, enseignement secondaire;Oui;;62;69389
4.80515800301495;45.7701340720176;0;9049;Sergent Berthet / Gorge de Loup;6 rue Gorge de Loup;;Lyon 9 ème;49;16;Non;Commerces, coeur de quartier;Oui;;63;69389
4.86715309709659;45.7707467009802;0;10046;Charmettes / Zola;Rue des Charmettes;Angle cours Emile Zola;VILLEURBANNE;46;24;Non;maillage, arrêt C3 ?;Oui;;64;69266
4.79971495826679;45.7760919647711;0;9043;Marietton ouest;78 rue Marietton;;Lyon 9 ème;43;20;Non;Maillage;Non;;65;69389
4.80090048324114;45.7704769200646;0;9044;Masset / St Pierre de Vaise;86 rue St Pierre de Vaise;;Lyon 9 ème;44;16;Non;Activités, maillage;Oui;;66;69389
4.79654028918423;45.770941031065;0;9010;Piscine de Vaise;En face du 51 rue Sidoine Appolinaire;;Lyon 9 ème;10;19;Non;Piscine;Oui;;67;69389
4.80306139722826;45.7617986194848;0;5055;Buyer / Apollinaire;111 av. Barthélémy Buyer;;Lyon 5 ème;55;22;Oui;Centre commercial;Oui;;68;69385
4.80564028018344;45.7673562652624;0;9033;Gorge de Loup;Devant 49 bis esplanade Lima Cretet;;Lyon 9 ème;33;40;Non;Lycée professionnel;Oui;;69;69389
4.84519252016435;45.7502638736915;0;7053;Jaurès / Thibaudière;27 rue de la Thibaudière;;Lyon 7 ème;53;18;Non;Maillage;Oui;;70;69387
4.87269682370274;45.7352063234863;0;8004;Mairie 8e;avenue Mermoz;devant la mairie du 8ème;Lyon 8 ème;4;21;Non;Mairie du 8e;Oui;;71;69388
4.8715895663215;45.7453344566132;0;8002;Place Ambroise Courtois;Place Ambroise Courtois;Face au cours A. Thomas;Lyon 8 ème;2;20;Non;Métro D, Institut Lumière, Place et avenue des frères Lumière;Oui;;72;69388
4.87762123928819;45.7282814065156;0;8021;Paul Santy;avenue paul santy;;Lyon 8 ème;21;16;Non;itinéraire cyclable;Oui;;73;69388
4.86099377367911;45.7444606289943;0;8025;Dumont / Jouvet;rue santos-dumont;;Lyon 8 ème;25;17;Non;maillage;Oui;;74;69388
4.85228601094152;45.738741092342;0;8039;Pierre Delore;Rue Pierre Delore;;Lyon 8 ème;39;20;Non;Habitat;Oui;;75;69388
4.87687992444367;45.7821896441246;0;10002;INSA;Avenue Albert Einstein;au niveau du virage de l'avenue;VILLEURBANNE;2;40;Non;INSA, tram, itinéraires cyclables;Oui;;76;69266
4.87314108788078;45.7636407030235;0;10025;Totem;Cours Tolstoi;;VILLEURBANNE;25;20;Non;Centre Quartier;Non;;77;69266
4.85952335379158;45.7767057578019;0;10054;Stalingrad / Meliès;rue meliès;;VILLEURBANNE;54;24;Non;centre de congrès, bureaux;Oui;;78;69266
4.8719521951028;45.7791121885925;0;10056;11 novembre / Gaston Berger;Avenue du 11 novembre 1918;Angle Avenue Gaston Berger;VILLEURBANNE;56;35;Non;resto U, associations, logements étudiants, iti. Cyclable;Oui;;79;69266
4.89215042623492;45.7671263864269;0;10058;métro Flachet;cours Emile Zola;;VILLEURBANNE;58;22;Non;métro A;Oui;;80;69266
4.89645432932126;45.7615596406929;0;10071;Lycée Marie Curie;64 bd Eugène Réguillon;;VILLEURBANNE;71;20;Non;lycée, quartier;Oui;;81;69266
4.80737276926982;45.7547981963809;0;5030;Charcot / Résidence universitaire;Rue Cdt Charcot;Angle Fort St Irénée/rue Cdt Charcot;Lyon 5 ème;30;32;Oui;Résidence universitaire, marché;Oui;;82;69385
4.81272720953072;45.7554367590946;0;5008;Sainte Irénée;Place Sainte Irénée;;Lyon 5 ème;8;20;Oui;Place, résidence universitaire;Oui;;83;69385
4.87295938886729;45.7707838400684;0;10061;République;105, cours Emile Zola;;VILLEURBANNE;61;18;Non;métro;Oui;;84;69266
4.87246226205668;45.7615354261746;0;10073;Institut d'Art contemporain;Rue Docteur Dolard;Angle rue 4 septembre;VILLEURBANNE;73;15;Non;Nouveau Musée D'Art Contemporain;Oui;;85;69266
4.87694841471154;45.7700480878179;0;10074;Zola / Passage Rey;Cours E. Zola;Angle passage Rey;VILLEURBANNE;74;19;Non;Salle de gym des Gratte-Ciel, centre-ville;Oui;;86;69266
4.83014467707224;45.7594698848217;0;2036;Place A.Gourju;Place Gorjus;;Lyon 2 ème;36;20;Non;Commerces, place Bellecour,;Oui;;87;69382
4.81931449775085;45.756082553797;0;5053;St Just;16 rue des Fargues;;Lyon 5 ème;53;18;Oui;Coeur de quartier, commerces, jardin public, lycée;Oui;;88;69385
4.82473448931599;45.7518482427555;0;2042;Joffre / Vaubecour;43 rue Vaubecour;;Lyon 2 ème;42;20;Non;Centre-ville, entrée zone 30;Oui;;89;69382
4.80445892719369;45.7534421942217;0;5047;Albéric Pont;Albéric Pont;;Lyon 5 ème;47;16;Oui;Gymnase, Terrain de sports, collège;Oui;;90;69385
4.88561275425414;45.7583893829182;0;10063;Perrin / Jean Jaurès;face au n°9 rue Jean Jaures;;VILLEURBANNE;63;34;Non;quartier Grandclément;Oui;;91;69266
4.88987302180383;45.7597257399257;0;10021;GrandClément;Place GrandClément;;VILLEURBANNE;21;19;Non;centre quartier, futur arrêt C3, itinéraire cyclable;Non;;92;69266
4.86728334680193;45.7467702121095;0;8038;Albert Thomas / Villon;cours Albert Thomas;angle rue Villon;Lyon 8 ème;38;20;Non;bureaux, itinéraire cyclable;Oui;;93;69388
4.8244878801967;45.7377520986814;0;7045;Parc des Berges;40 avenue Leclerc;;Lyon 7 ème;45;20;Non;Accès berges, parc, itinéraire cyclable;Oui;;94;69387
4.85683338586512;45.7662960771169;0;6045;Brotteaux / Vauban;44 bd des Brotteaux;;Lyon 6 ème;45;15;Non;Commerces, maillage;Oui;;95;69386
4.85159792893307;45.7477270248659;0;7062;Garibaldi / Domer;Rue Garibaldi;;Lyon 7 ème;62;19;Non;Lycée Professionnel, CROUS;Oui;;96;69387
4.8568128186712;45.7357952320593;0;8056;Delore / Audibert & Lavirotte;69 rue Audibert & Lavirotte;;Lyon 8 ème;56;20;Non;Maillage;Oui;;97;69388
4.87418528175002;45.7403016013987;0;8015;Bd Jean XXIII;25 rue Maryse Bastié;;Lyon 8 ème;15;16;Non;Tramway, habitations;Oui;;98;69388
4.83545738244912;45.7346818429149;0;7057;Jaurès / Bollier;219 avenue Jean Jaurès;;Lyon 7 ème;57;24;Non;ENS Lettres, commerces;Oui;;99;69387
4.82771915596122;45.7356738897812;0;7007;Farge / Ayasse;117 boulevard Yves Farge;;Lyon 7 ème;52;20;Non;Centre commercial, logements, itinéraire cyclable;Oui;;100;69387
4.84785882965487;45.7453992340993;0;7064;CROUS;Rue Chevreul;;Lyon 7 ème;64;17;Non;Crous;Oui;;101;69387
4.83007978876956;45.7692658462513;0;1003;Place Sathonay;4, Place Sathonay;;Lyon 1 er;3;15;Non;;Oui;;102;69381
4.8321092446089;45.7402591901399;0;7018;Lycée Louise Labé;Rue Rivet;;Lyon 7 ème;18;20;Non;Lycée, QGF, projet cyclable;Oui;;103;69387
4.84069536038571;45.7557568966743;0;7056;Place Raspail;3 rue Cavenne;;Lyon 7 ème;56;22;Non;Commerces, quartier, point nodal (Guillotière, 7e,;Oui;;104;69387
4.83335384395724;45.7534549142114;0;2012;Gailleton;4 place Gailleton;;Lyon 2 ème;12;16;Non;;Oui;;105;69382
4.84323794810386;45.7485428567164;0;7061;Jaurès / Université;53 rue de l'Université;;Lyon 7 ème;61;20;Non;Coeur de quartier, commerces;Oui;;106;69387
4.86351759043934;45.7278885457128;0;8008;Beauvisage / Préssensé;rue professeur beauvisage;;Lyon 8 ème;8;10;Non;itinéraires cyclables;Oui;;107;69388
4.88349957514267;45.7807198477544;0;10031;Croix Luizet;Face 158, Avenue Roger Salengro;;VILLEURBANNE;31;22;Non;Centre quartier;Oui;;108;69266
4.83110736608632;45.7659494939436;0;1016;Pêcherie;6 rue de la Platière;angle quai de la Pêcherie;Lyon 1 er;16;17;Non;bouquinistes;Oui;;109;69381
4.85520085642282;45.7572612599252;0;3084;Desaix;128 rue Paul Bert;;Lyon 3 ème;84;28;Non;;Oui;;110;69383
4.87162917814437;45.7762517515065;0;10120;Salengro / Descartes;39 rue Roger Salengro;;VILLEURBANNE;120;15;Non;Maillage;Oui;;111;69266
4.86508416387106;45.7663703493176;0;6044;Charmettes / Bellecombe;26 rue de la Viabert;;Lyon 6 ème;44;16;Non;CIL Bellecombe, hôpital des Charmettes, ND de Bell;Oui;;112;69386
4.89708592411878;45.7840513436847;0;10122;Verdun / Desgrand;13 rue de Verdun;;VILLEURBANNE;122;21;Non;Maillage;Oui;;113;69266
4.84840533316879;45.7566992681841;0;3018;Créqui / Voltaire;rue de Créqui;angle place Voltaire;Lyon 3 ème;18;30;Non;Coeur de quartier;Oui;;114;69383
4.86861112487018;45.7625856646185;0;3101;Patinoire Baraban;Face 34 rue Baraban;;Lyon 3 ème;101;20;Non;Patinoire, activités;Oui;;115;69383
4.87905957666225;45.7719249686766;0;10121;Parc du Centre;34 rue Billon;;VILLEURBANNE;121;16;Non;Parc du centre, itinéraire cyclable;Oui;;116;69266
4.89036956577188;45.7715577376675;0;10092;Montgolfier / Château Gaillard;135 rue Château Gaillard;;VILLEURBANNE;92;17;Non;Maillage;Oui;;117;69266
